"Plot Title: Pink"
"#","Date Time, GMT-07:00","Low Range, μS/cm (LGR S/N: 20414841, SEN S/N: 20414841)","Temp, °C (LGR S/N: 20414841, SEN S/N: 20414841)"
71,09/25/18 07:10:00 PM,308.0,21.84
72,09/25/18 07:11:00 PM,308.0,21.83
73,09/25/18 07:12:00 PM,308.0,21.82
74,09/25/18 07:13:00 PM,308.0,21.82
75,09/25/18 07:14:00 PM,308.0,21.82
76,09/25/18 07:15:00 PM,307.9,21.82
77,09/25/18 07:16:00 PM,307.9,21.83
78,09/25/18 07:17:00 PM,307.9,21.81
79,09/25/18 07:18:00 PM,307.8,21.81
80,09/25/18 07:19:00 PM,307.8,21.81
81,09/25/18 07:20:00 PM,307.8,21.80
82,09/25/18 07:21:00 PM,307.8,21.80
83,09/25/18 07:22:00 PM,307.7,21.78
84,09/25/18 07:23:00 PM,307.8,21.78
85,09/25/18 07:24:00 PM,307.8,21.78
86,09/25/18 07:25:00 PM,307.8,21.77
87,09/25/18 07:26:00 PM,307.8,21.77
88,09/25/18 07:27:00 PM,307.7,21.76
89,09/25/18 07:28:00 PM,307.7,21.76
90,09/25/18 07:29:00 PM,307.6,21.75
91,09/25/18 07:30:00 PM,307.5,21.74
92,09/25/18 07:31:00 PM,307.5,21.75
93,09/25/18 07:32:00 PM,307.5,21.74
94,09/25/18 07:33:00 PM,307.6,21.74
95,09/25/18 07:34:00 PM,307.8,21.74
96,09/25/18 07:35:00 PM,307.5,21.74
97,09/25/18 07:36:00 PM,307.5,21.73
98,09/25/18 07:37:00 PM,307.6,21.73
99,09/25/18 07:38:00 PM,307.5,21.73
100,09/25/18 07:39:00 PM,307.5,21.73
101,09/25/18 07:40:00 PM,307.5,21.71
102,09/25/18 07:41:00 PM,307.5,21.71
103,09/25/18 07:42:00 PM,307.5,21.71
104,09/25/18 07:43:00 PM,307.4,21.71
105,09/25/18 07:44:00 PM,307.4,21.70
106,09/25/18 07:45:00 PM,307.3,21.70
107,09/25/18 07:46:00 PM,307.4,21.69
108,09/25/18 07:47:00 PM,307.2,21.70
109,09/25/18 07:48:00 PM,307.3,21.69
110,09/25/18 07:49:00 PM,307.1,21.69
111,09/25/18 07:50:00 PM,307.4,21.69
112,09/25/18 07:51:00 PM,307.1,21.68
113,09/25/18 07:52:00 PM,307.2,21.68
114,09/25/18 07:53:00 PM,307.1,21.67
115,09/25/18 07:54:00 PM,307.1,21.67
116,09/25/18 07:55:00 PM,307.1,21.67
117,09/25/18 07:56:00 PM,307.1,21.67
118,09/25/18 07:57:00 PM,307.0,21.66
119,09/25/18 07:58:00 PM,307.1,21.66
120,09/25/18 07:59:00 PM,307.1,21.65
121,09/25/18 08:00:00 PM,307.1,21.65
122,09/25/18 08:01:00 PM,307.0,21.66
123,09/25/18 08:02:00 PM,307.1,21.65
124,09/25/18 08:03:00 PM,307.1,21.63
125,09/25/18 08:04:00 PM,307.0,21.63
126,09/25/18 08:05:00 PM,307.0,21.65
127,09/25/18 08:06:00 PM,306.9,21.65
128,09/25/18 08:07:00 PM,307.0,21.63
129,09/25/18 08:08:00 PM,306.8,21.65
130,09/25/18 08:09:00 PM,306.9,21.63
131,09/25/18 08:10:00 PM,306.8,21.62
132,09/25/18 08:11:00 PM,306.9,21.62
133,09/25/18 08:12:00 PM,306.9,21.62
134,09/25/18 08:13:00 PM,306.8,21.62
135,09/25/18 08:14:00 PM,306.9,21.61
136,09/25/18 08:15:00 PM,306.8,21.60
137,09/25/18 08:16:00 PM,306.8,21.62
138,09/25/18 08:17:00 PM,306.8,21.61
139,09/25/18 08:18:00 PM,306.8,21.62
140,09/25/18 08:19:00 PM,306.8,21.60
141,09/25/18 08:20:00 PM,306.8,21.60
142,09/25/18 08:21:00 PM,306.7,21.60
143,09/25/18 08:22:00 PM,306.8,21.59
144,09/25/18 08:23:00 PM,306.7,21.59
145,09/25/18 08:24:00 PM,306.7,21.59
146,09/25/18 08:25:00 PM,306.6,21.58
147,09/25/18 08:26:00 PM,306.7,21.59
148,09/25/18 08:27:00 PM,306.8,21.59
149,09/25/18 08:28:00 PM,341.0,21.58
150,09/25/18 08:29:00 PM,347.8,21.58
151,09/25/18 08:30:00 PM,336.2,21.59
152,09/25/18 08:31:00 PM,328.4,21.56
153,09/25/18 08:32:00 PM,323.7,21.56
154,09/25/18 08:33:00 PM,320.5,21.55
155,09/25/18 08:34:00 PM,316.9,21.56
156,09/25/18 08:35:00 PM,313.3,21.55
157,09/25/18 08:36:00 PM,312.1,21.55
158,09/25/18 08:37:00 PM,311.6,21.55
159,09/25/18 08:38:00 PM,311.5,21.55
160,09/25/18 08:39:00 PM,310.9,21.54
161,09/25/18 08:40:00 PM,309.4,21.54
162,09/25/18 08:41:00 PM,308.7,21.54
163,09/25/18 08:42:00 PM,307.7,21.53
164,09/25/18 08:43:00 PM,307.5,21.52
165,09/25/18 08:44:00 PM,307.3,21.54
166,09/25/18 08:45:00 PM,307.7,21.54
167,09/25/18 08:46:00 PM,307.3,21.53
168,09/25/18 08:47:00 PM,307.0,21.53
169,09/25/18 08:48:00 PM,306.9,21.53
170,09/25/18 08:49:00 PM,306.7,21.52
171,09/25/18 08:50:00 PM,306.7,21.52
172,09/25/18 08:51:00 PM,306.7,21.51
173,09/25/18 08:52:00 PM,306.4,21.52
174,09/25/18 08:53:00 PM,306.6,21.49
175,09/25/18 08:54:00 PM,306.4,21.51
176,09/25/18 08:55:00 PM,306.4,21.51
177,09/25/18 08:56:00 PM,306.4,21.49
178,09/25/18 08:57:00 PM,306.2,21.51
179,09/25/18 08:58:00 PM,306.4,21.49
180,09/25/18 08:59:00 PM,306.3,21.49
181,09/25/18 09:00:00 PM,306.3,21.49
182,09/25/18 09:01:00 PM,306.3,21.49
183,09/25/18 09:02:00 PM,306.2,21.48
184,09/25/18 09:03:00 PM,306.3,21.47
185,09/25/18 09:04:00 PM,306.1,21.48
186,09/25/18 09:05:00 PM,306.2,21.47
187,09/25/18 09:06:00 PM,306.2,21.47
188,09/25/18 09:07:00 PM,306.1,21.47
189,09/25/18 09:08:00 PM,306.1,21.47
190,09/25/18 09:09:00 PM,306.0,21.46
191,09/25/18 09:10:00 PM,306.0,21.46
192,09/25/18 09:11:00 PM,306.0,21.46
193,09/25/18 09:12:00 PM,306.0,21.45
194,09/25/18 09:13:00 PM,305.9,21.46
195,09/25/18 09:14:00 PM,305.9,21.45
196,09/25/18 09:15:00 PM,305.9,21.45
197,09/25/18 09:16:00 PM,305.9,21.45
198,09/25/18 09:17:00 PM,305.9,21.45
199,09/25/18 09:18:00 PM,305.9,21.44
200,09/25/18 09:19:00 PM,305.9,21.44
201,09/25/18 09:20:00 PM,305.9,21.44
202,09/25/18 09:21:00 PM,305.9,21.45
203,09/25/18 09:22:00 PM,305.8,21.44
204,09/25/18 09:23:00 PM,305.8,21.42
205,09/25/18 09:24:00 PM,305.8,21.41
206,09/25/18 09:25:00 PM,305.7,21.41
207,09/25/18 09:26:00 PM,305.8,21.41
208,09/25/18 09:27:00 PM,305.8,21.42
209,09/25/18 09:28:00 PM,305.7,21.42
210,09/25/18 09:29:00 PM,305.8,21.41
211,09/25/18 09:30:00 PM,305.7,21.41
212,09/25/18 09:31:00 PM,305.7,21.41
213,09/25/18 09:32:00 PM,305.7,21.41
214,09/25/18 09:33:00 PM,305.7,21.40
215,09/25/18 09:34:00 PM,305.6,21.39
216,09/25/18 09:35:00 PM,305.7,21.41
217,09/25/18 09:36:00 PM,305.7,21.40
218,09/25/18 09:37:00 PM,305.5,21.39
219,09/25/18 09:38:00 PM,305.5,21.41
220,09/25/18 09:39:00 PM,305.6,21.39
221,09/25/18 09:40:00 PM,305.5,21.38
222,09/25/18 09:41:00 PM,305.4,21.38
223,09/25/18 09:42:00 PM,305.5,21.37
224,09/25/18 09:43:00 PM,305.4,21.38
225,09/25/18 09:44:00 PM,305.5,21.39
226,09/25/18 09:45:00 PM,305.4,21.38
227,09/25/18 09:46:00 PM,305.5,21.36
228,09/25/18 09:47:00 PM,305.5,21.36
229,09/25/18 09:48:00 PM,305.5,21.37
230,09/25/18 09:49:00 PM,305.4,21.38
231,09/25/18 09:50:00 PM,305.4,21.38
232,09/25/18 09:51:00 PM,305.4,21.37
233,09/25/18 09:52:00 PM,305.4,21.36
234,09/25/18 09:53:00 PM,305.4,21.34
235,09/25/18 09:54:00 PM,305.4,21.36
236,09/25/18 09:55:00 PM,305.4,21.34
237,09/25/18 09:56:00 PM,305.3,21.33
238,09/25/18 09:57:00 PM,305.2,21.34
239,09/25/18 09:58:00 PM,305.2,21.34
240,09/25/18 09:59:00 PM,305.2,21.33
241,09/25/18 10:00:00 PM,305.2,21.33
242,09/25/18 10:01:00 PM,305.2,21.33
243,09/25/18 10:02:00 PM,305.2,21.32
244,09/25/18 10:03:00 PM,305.2,21.32
245,09/25/18 10:04:00 PM,305.2,21.32
246,09/25/18 10:05:00 PM,305.1,21.32
247,09/25/18 10:06:00 PM,305.2,21.32
248,09/25/18 10:07:00 PM,305.1,21.32
249,09/25/18 10:08:00 PM,305.2,21.31
250,09/25/18 10:09:00 PM,305.2,21.31
251,09/25/18 10:10:00 PM,305.2,21.31
252,09/25/18 10:11:00 PM,305.1,21.31
253,09/25/18 10:12:00 PM,305.1,21.29
254,09/25/18 10:13:00 PM,305.0,21.31
255,09/25/18 10:14:00 PM,305.0,21.30
256,09/25/18 10:15:00 PM,305.0,21.30
257,09/25/18 10:16:00 PM,305.0,21.27
258,09/25/18 10:17:00 PM,305.1,21.29
259,09/25/18 10:18:00 PM,305.1,21.30
260,09/25/18 10:19:00 PM,305.0,21.29
261,09/25/18 10:20:00 PM,305.0,21.27
262,09/25/18 10:21:00 PM,305.0,21.29
263,09/25/18 10:22:00 PM,304.9,21.26
264,09/25/18 10:23:00 PM,305.0,21.27
265,09/25/18 10:24:00 PM,304.9,21.26
266,09/25/18 10:25:00 PM,305.0,21.27
267,09/25/18 10:26:00 PM,304.9,21.26
268,09/25/18 10:27:00 PM,304.9,21.26
269,09/25/18 10:28:00 PM,304.9,21.26
270,09/25/18 10:29:00 PM,304.8,21.26
271,09/25/18 10:30:00 PM,304.9,21.25
272,09/25/18 10:31:00 PM,304.9,21.24
273,09/25/18 10:32:00 PM,304.8,21.25
274,09/25/18 10:33:00 PM,304.8,21.25
275,09/25/18 10:34:00 PM,304.8,21.24
276,09/25/18 10:35:00 PM,304.8,21.25
277,09/25/18 10:36:00 PM,305.0,21.24
278,09/25/18 10:37:00 PM,304.8,21.23
279,09/25/18 10:38:00 PM,304.8,21.23
280,09/25/18 10:39:00 PM,304.7,21.23
281,09/25/18 10:40:00 PM,304.8,21.23
282,09/25/18 10:41:00 PM,304.7,21.22
283,09/25/18 10:42:00 PM,304.8,21.23
284,09/25/18 10:43:00 PM,304.8,21.23
285,09/25/18 10:44:00 PM,304.6,21.22
286,09/25/18 10:45:00 PM,304.7,21.20
287,09/25/18 10:46:00 PM,304.6,21.23
288,09/25/18 10:47:00 PM,304.6,21.22
289,09/25/18 10:48:00 PM,304.5,21.22
290,09/25/18 10:49:00 PM,304.5,21.20
291,09/25/18 10:50:00 PM,304.6,21.19
292,09/25/18 10:51:00 PM,304.6,21.19
293,09/25/18 10:52:00 PM,304.6,21.19
294,09/25/18 10:53:00 PM,304.5,21.19
295,09/25/18 10:54:00 PM,304.5,21.19
296,09/25/18 10:55:00 PM,304.4,21.18
297,09/25/18 10:56:00 PM,304.4,21.17
298,09/25/18 10:57:00 PM,304.4,21.18
299,09/25/18 10:58:00 PM,304.4,21.17
300,09/25/18 10:59:00 PM,304.5,21.18
301,09/25/18 11:00:00 PM,304.5,21.17
302,09/25/18 11:01:00 PM,304.4,21.16
303,09/25/18 11:02:00 PM,304.4,21.18
304,09/25/18 11:03:00 PM,304.5,21.16
305,09/25/18 11:04:00 PM,304.3,21.15
306,09/25/18 11:05:00 PM,304.3,21.17
307,09/25/18 11:06:00 PM,304.3,21.17
308,09/25/18 11:07:00 PM,304.3,21.15
309,09/25/18 11:08:00 PM,304.3,21.15
310,09/25/18 11:09:00 PM,304.3,21.15
311,09/25/18 11:10:00 PM,304.3,21.15
312,09/25/18 11:11:00 PM,304.4,21.13
313,09/25/18 11:12:00 PM,304.3,21.12
314,09/25/18 11:13:00 PM,304.2,21.13
315,09/25/18 11:14:00 PM,304.1,21.15
316,09/25/18 11:15:00 PM,304.2,21.13
317,09/25/18 11:16:00 PM,304.2,21.12
318,09/25/18 11:17:00 PM,304.2,21.12
319,09/25/18 11:18:00 PM,304.1,21.11
320,09/25/18 11:19:00 PM,304.1,21.11
321,09/25/18 11:20:00 PM,304.1,21.11
322,09/25/18 11:21:00 PM,304.1,21.11
323,09/25/18 11:22:00 PM,304.1,21.11
324,09/25/18 11:23:00 PM,304.1,21.11
325,09/25/18 11:24:00 PM,304.1,21.11
326,09/25/18 11:25:00 PM,304.1,21.10
327,09/25/18 11:26:00 PM,304.0,21.10
328,09/25/18 11:27:00 PM,304.0,21.10
329,09/25/18 11:28:00 PM,304.0,21.09
330,09/25/18 11:29:00 PM,304.0,21.09
331,09/25/18 11:30:00 PM,303.8,21.10
332,09/25/18 11:31:00 PM,303.9,21.09
333,09/25/18 11:32:00 PM,303.9,21.08
334,09/25/18 11:33:00 PM,303.9,21.09
335,09/25/18 11:34:00 PM,303.9,21.08
336,09/25/18 11:35:00 PM,304.0,21.08
337,09/25/18 11:36:00 PM,303.8,21.08
338,09/25/18 11:37:00 PM,303.9,21.07
339,09/25/18 11:38:00 PM,303.8,21.07
340,09/25/18 11:39:00 PM,303.8,21.07
341,09/25/18 11:40:00 PM,303.9,21.05
342,09/25/18 11:41:00 PM,303.8,21.08
343,09/25/18 11:42:00 PM,303.8,21.07
344,09/25/18 11:43:00 PM,303.7,21.05
345,09/25/18 11:44:00 PM,303.8,21.04
346,09/25/18 11:45:00 PM,303.7,21.04
347,09/25/18 11:46:00 PM,303.7,21.03
348,09/25/18 11:47:00 PM,303.7,21.03
349,09/25/18 11:48:00 PM,303.6,21.04
350,09/25/18 11:49:00 PM,303.6,21.04
351,09/25/18 11:50:00 PM,303.6,21.03
352,09/25/18 11:51:00 PM,303.6,21.04
353,09/25/18 11:52:00 PM,303.7,21.03
354,09/25/18 11:53:00 PM,303.7,21.03
355,09/25/18 11:54:00 PM,303.6,21.02
356,09/25/18 11:55:00 PM,303.6,21.03
357,09/25/18 11:56:00 PM,303.5,21.03
358,09/25/18 11:57:00 PM,303.5,21.01
359,09/25/18 11:58:00 PM,303.5,21.01
360,09/25/18 11:59:00 PM,303.6,21.01
361,09/26/18 12:00:00 AM,303.5,21.01
362,09/26/18 12:01:00 AM,303.5,21.02
363,09/26/18 12:02:00 AM,303.6,21.01
364,09/26/18 12:03:00 AM,303.5,21.01
365,09/26/18 12:04:00 AM,303.5,21.01
366,09/26/18 12:05:00 AM,303.4,21.01
367,09/26/18 12:06:00 AM,303.4,21.00
368,09/26/18 12:07:00 AM,303.5,21.00
369,09/26/18 12:08:00 AM,303.4,21.00
370,09/26/18 12:09:00 AM,303.4,21.01
371,09/26/18 12:10:00 AM,303.4,20.98
372,09/26/18 12:11:00 AM,303.4,20.98
373,09/26/18 12:12:00 AM,303.4,20.98
374,09/26/18 12:13:00 AM,303.4,21.00
375,09/26/18 12:14:00 AM,303.4,21.00
376,09/26/18 12:15:00 AM,303.3,20.98
377,09/26/18 12:16:00 AM,303.3,20.97
378,09/26/18 12:17:00 AM,303.2,20.97
379,09/26/18 12:18:00 AM,303.3,20.96
380,09/26/18 12:19:00 AM,303.2,20.96
381,09/26/18 12:20:00 AM,303.3,20.95
382,09/26/18 12:21:00 AM,303.2,20.95
383,09/26/18 12:22:00 AM,303.2,20.96
384,09/26/18 12:23:00 AM,303.3,20.96
385,09/26/18 12:24:00 AM,303.2,20.96
386,09/26/18 12:25:00 AM,303.2,20.96
387,09/26/18 12:26:00 AM,303.2,20.94
388,09/26/18 12:27:00 AM,303.2,20.95
389,09/26/18 12:28:00 AM,303.2,20.94
390,09/26/18 12:29:00 AM,303.2,20.93
391,09/26/18 12:30:00 AM,303.2,20.93
392,09/26/18 12:31:00 AM,303.2,20.93
393,09/26/18 12:32:00 AM,303.2,20.93
394,09/26/18 12:33:00 AM,303.1,20.94
395,09/26/18 12:34:00 AM,303.1,20.93
396,09/26/18 12:35:00 AM,303.1,20.93
397,09/26/18 12:36:00 AM,303.1,20.93
398,09/26/18 12:37:00 AM,303.1,20.91
399,09/26/18 12:38:00 AM,303.0,20.91
400,09/26/18 12:39:00 AM,303.1,20.90
401,09/26/18 12:40:00 AM,303.0,20.91
402,09/26/18 12:41:00 AM,303.1,20.91
403,09/26/18 12:42:00 AM,303.0,20.90
404,09/26/18 12:43:00 AM,303.0,20.90
405,09/26/18 12:44:00 AM,303.0,20.91
406,09/26/18 12:45:00 AM,303.0,20.90
407,09/26/18 12:46:00 AM,303.0,20.90
408,09/26/18 12:47:00 AM,303.0,20.90
409,09/26/18 12:48:00 AM,303.0,20.89
410,09/26/18 12:49:00 AM,303.0,20.89
411,09/26/18 12:50:00 AM,302.9,20.89
412,09/26/18 12:51:00 AM,303.0,20.89
413,09/26/18 12:52:00 AM,303.0,20.88
414,09/26/18 12:53:00 AM,302.9,20.88
415,09/26/18 12:54:00 AM,302.9,20.89
416,09/26/18 12:55:00 AM,303.0,20.88
417,09/26/18 12:56:00 AM,302.9,20.88
418,09/26/18 12:57:00 AM,302.8,20.87
419,09/26/18 12:58:00 AM,302.9,20.88
420,09/26/18 12:59:00 AM,302.9,20.87
421,09/26/18 01:00:00 AM,302.9,20.86
422,09/26/18 01:01:00 AM,302.8,20.86
423,09/26/18 01:02:00 AM,302.8,20.87
424,09/26/18 01:03:00 AM,302.7,20.87
425,09/26/18 01:04:00 AM,302.8,20.85
426,09/26/18 01:05:00 AM,302.8,20.85
427,09/26/18 01:06:00 AM,302.8,20.85
428,09/26/18 01:07:00 AM,302.8,20.85
429,09/26/18 01:08:00 AM,302.8,20.83
430,09/26/18 01:09:00 AM,302.8,20.83
431,09/26/18 01:10:00 AM,302.8,20.83
432,09/26/18 01:11:00 AM,302.7,20.85
433,09/26/18 01:12:00 AM,302.7,20.83
434,09/26/18 01:13:00 AM,302.6,20.85
435,09/26/18 01:14:00 AM,302.8,20.82
436,09/26/18 01:15:00 AM,302.7,20.81
437,09/26/18 01:16:00 AM,302.7,20.82
438,09/26/18 01:17:00 AM,302.7,20.83
439,09/26/18 01:18:00 AM,302.5,20.82
440,09/26/18 01:19:00 AM,302.6,20.81
441,09/26/18 01:20:00 AM,302.6,20.81
442,09/26/18 01:21:00 AM,302.7,20.81
443,09/26/18 01:22:00 AM,302.6,20.81
444,09/26/18 01:23:00 AM,302.5,20.81
445,09/26/18 01:24:00 AM,302.5,20.81
446,09/26/18 01:25:00 AM,302.6,20.81
447,09/26/18 01:26:00 AM,302.6,20.79
448,09/26/18 01:27:00 AM,302.5,20.81
449,09/26/18 01:28:00 AM,302.6,20.79
450,09/26/18 01:29:00 AM,302.6,20.79
451,09/26/18 01:30:00 AM,302.6,20.79
452,09/26/18 01:31:00 AM,302.5,20.78
453,09/26/18 01:32:00 AM,302.6,20.79
454,09/26/18 01:33:00 AM,302.4,20.78
455,09/26/18 01:34:00 AM,302.4,20.79
456,09/26/18 01:35:00 AM,302.5,20.78
457,09/26/18 01:36:00 AM,302.4,20.79
458,09/26/18 01:37:00 AM,302.6,20.78
459,09/26/18 01:38:00 AM,302.5,20.78
460,09/26/18 01:39:00 AM,302.5,20.79
461,09/26/18 01:40:00 AM,302.4,20.75
462,09/26/18 01:41:00 AM,302.4,20.76
463,09/26/18 01:42:00 AM,302.3,20.79
464,09/26/18 01:43:00 AM,302.3,20.76
465,09/26/18 01:44:00 AM,302.3,20.76
466,09/26/18 01:45:00 AM,302.4,20.75
467,09/26/18 01:46:00 AM,302.3,20.75
468,09/26/18 01:47:00 AM,302.4,20.74
469,09/26/18 01:48:00 AM,302.3,20.75
470,09/26/18 01:49:00 AM,302.3,20.74
471,09/26/18 01:50:00 AM,302.3,20.74
472,09/26/18 01:51:00 AM,302.2,20.73
473,09/26/18 01:52:00 AM,302.2,20.74
474,09/26/18 01:53:00 AM,302.2,20.73
475,09/26/18 01:54:00 AM,302.2,20.74
476,09/26/18 01:55:00 AM,302.2,20.73
477,09/26/18 01:56:00 AM,302.1,20.73
478,09/26/18 01:57:00 AM,302.1,20.71
479,09/26/18 01:58:00 AM,302.2,20.69
480,09/26/18 01:59:00 AM,302.1,20.71
481,09/26/18 02:00:00 AM,302.1,20.69
482,09/26/18 02:01:00 AM,302.1,20.72
483,09/26/18 02:02:00 AM,302.1,20.71
484,09/26/18 02:03:00 AM,302.1,20.69
485,09/26/18 02:04:00 AM,302.1,20.71
486,09/26/18 02:05:00 AM,302.1,20.71
487,09/26/18 02:06:00 AM,302.1,20.68
488,09/26/18 02:07:00 AM,302.1,20.68
489,09/26/18 02:08:00 AM,302.1,20.68
490,09/26/18 02:09:00 AM,302.0,20.69
491,09/26/18 02:10:00 AM,302.1,20.68
492,09/26/18 02:11:00 AM,302.1,20.68
493,09/26/18 02:12:00 AM,302.0,20.67
494,09/26/18 02:13:00 AM,302.0,20.68
495,09/26/18 02:14:00 AM,302.0,20.67
496,09/26/18 02:15:00 AM,302.1,20.67
497,09/26/18 02:16:00 AM,302.1,20.67
498,09/26/18 02:17:00 AM,302.0,20.68
499,09/26/18 02:18:00 AM,301.9,20.66
500,09/26/18 02:19:00 AM,301.9,20.67
501,09/26/18 02:20:00 AM,301.9,20.67
502,09/26/18 02:21:00 AM,301.9,20.66
503,09/26/18 02:22:00 AM,301.9,20.66
504,09/26/18 02:23:00 AM,301.9,20.67
505,09/26/18 02:24:00 AM,301.9,20.66
506,09/26/18 02:25:00 AM,301.9,20.64
507,09/26/18 02:26:00 AM,301.8,20.65
508,09/26/18 02:27:00 AM,301.9,20.66
509,09/26/18 02:28:00 AM,301.8,20.65
510,09/26/18 02:29:00 AM,301.9,20.64
511,09/26/18 02:30:00 AM,301.8,20.65
512,09/26/18 02:31:00 AM,301.8,20.64
513,09/26/18 02:32:00 AM,301.8,20.62
514,09/26/18 02:33:00 AM,301.8,20.62
515,09/26/18 02:34:00 AM,301.8,20.64
516,09/26/18 02:35:00 AM,301.9,20.64
517,09/26/18 02:36:00 AM,301.8,20.62
518,09/26/18 02:37:00 AM,301.8,20.62
519,09/26/18 02:38:00 AM,301.7,20.61
520,09/26/18 02:39:00 AM,301.8,20.61
521,09/26/18 02:40:00 AM,301.7,20.61
522,09/26/18 02:41:00 AM,301.8,20.61
523,09/26/18 02:42:00 AM,301.8,20.60
524,09/26/18 02:43:00 AM,301.7,20.60
525,09/26/18 02:44:00 AM,301.7,20.60
526,09/26/18 02:45:00 AM,301.6,20.60
527,09/26/18 02:46:00 AM,301.7,20.59
528,09/26/18 02:47:00 AM,301.7,20.58
529,09/26/18 02:48:00 AM,301.7,20.59
530,09/26/18 02:49:00 AM,301.7,20.58
531,09/26/18 02:50:00 AM,301.7,20.58
532,09/26/18 02:51:00 AM,301.7,20.58
533,09/26/18 02:52:00 AM,301.7,20.58
534,09/26/18 02:53:00 AM,301.6,20.58
535,09/26/18 02:54:00 AM,301.5,20.57
536,09/26/18 02:55:00 AM,301.6,20.57
537,09/26/18 02:56:00 AM,301.6,20.57
538,09/26/18 02:57:00 AM,301.6,20.57
539,09/26/18 02:58:00 AM,301.5,20.56
540,09/26/18 02:59:00 AM,301.5,20.56
541,09/26/18 03:00:00 AM,301.5,20.57
542,09/26/18 03:01:00 AM,301.5,20.56
543,09/26/18 03:02:00 AM,301.6,20.54
544,09/26/18 03:03:00 AM,301.5,20.54
545,09/26/18 03:04:00 AM,301.5,20.56
546,09/26/18 03:05:00 AM,301.4,20.53
547,09/26/18 03:06:00 AM,301.5,20.56
548,09/26/18 03:07:00 AM,301.5,20.52
549,09/26/18 03:08:00 AM,301.4,20.53
550,09/26/18 03:09:00 AM,301.5,20.53
551,09/26/18 03:10:00 AM,301.4,20.52
552,09/26/18 03:11:00 AM,301.3,20.52
