"","Site","Date","Time","CO2","WaterTemp_C","H2O_mL","air_mL","Baro_inHg","pH","Alk_mgLCaCO3","Sample.ID","DateTime","HS.pCO2.before","HS.pCO2.after","Temp.insitu","Temp.equil","Alkalinity.measured","Volume.gas","Volume.water","Constants","Bar.pressure","Salinity"
"67","Beaver","2018-08-30","20:00",512.2469873,10.17,40,70,26.37,8.17,NA,"Beaver_830_2000",2018-08-30 20:00:00,0,512.2469873,10.17,10.17,NA,70,40,1,89.2991043,0
"49","Beaver","2018-08-30","22:00",687.086489,9.13,40,70,26.41,8.02,NA,"Beaver_830_2200",2018-08-30 22:00:00,0,687.086489,9.13,9.13,NA,70,40,1,89.4345599,0
"53","Beaver","2018-08-30","22:00",670.116289,9.13,40,70,26.41,8.02,NA,"Beaver_830_2200",2018-08-30 22:00:00,0,670.116289,9.13,9.13,NA,70,40,1,89.4345599,0
"71","Beaver","2018-08-30","22:00",662.134662,9.13,40,70,26.41,8.02,NA,"Beaver_830_2200",2018-08-30 22:00:00,0,662.134662,9.13,9.13,NA,70,40,1,89.4345599,0
"40","Beaver","2018-08-30","6:00",881.1814021,7.68,40,70,26.34,NA,NA,"Beaver_830_0600",2018-08-30 06:00:00,0,881.1814021,7.68,7.68,NA,70,40,1,89.1975126,0
"56","Beaver","2018-08-30","6:00",784.4880569,7.68,40,70,26.34,NA,NA,"Beaver_830_0600",2018-08-30 06:00:00,0,784.4880569,7.68,7.68,NA,70,40,1,89.1975126,0
"73","Beaver","2018-08-30","6:00",761.9661982,7.68,40,70,26.34,NA,NA,"Beaver_830_0600",2018-08-30 06:00:00,0,761.9661982,7.68,7.68,NA,70,40,1,89.1975126,0
"45","Beaver","2018-08-30","8:00",763.22298,7.76,40,70,26.36,7.94,146,"Beaver_830_0800",2018-08-30 08:00:00,0,763.22298,7.76,7.76,1460,70,40,1,89.2652404,0
"55","Beaver","2018-08-30","8:00",757.5221306,7.76,40,70,26.36,7.94,146,"Beaver_830_0800",2018-08-30 08:00:00,0,757.5221306,7.76,7.76,1460,70,40,1,89.2652404,0
"76","Beaver","2018-08-30","8:00",738.9062751,7.76,40,70,26.36,7.94,146,"Beaver_830_0800",2018-08-30 08:00:00,0,738.9062751,7.76,7.76,1460,70,40,1,89.2652404,0
"50","Beaver","2018-08-31","0:00",742.7963305,8.33,40,70,26.43,7.94,144,"Beaver_831_0000",2018-08-31 00:00:00,0,742.7963305,8.33,8.33,1440,70,40,1,89.5022877,0
"62","Beaver","2018-08-31","0:00",754.85221,8.33,40,70,26.43,7.94,144,"Beaver_831_0000",2018-08-31 00:00:00,0,754.85221,8.33,8.33,1440,70,40,1,89.5022877,0
"75","Beaver","2018-08-31","0:00",787.3156023,8.33,40,70,26.43,7.94,144,"Beaver_831_0000",2018-08-31 00:00:00,0,787.3156023,8.33,8.33,1440,70,40,1,89.5022877,0
"39","Beaver","2018-08-31","2:00",747.7467992,7.88,40,70,26.45,7.93,144,"Beaver_831_0200",2018-08-31 02:00:00,0,747.7467992,7.88,7.88,1440,70,40,1,89.5700155,0
"54","Beaver","2018-08-31","2:00",742.3729104,7.88,40,70,26.45,7.93,144,"Beaver_831_0200",2018-08-31 02:00:00,0,742.3729104,7.88,7.88,1440,70,40,1,89.5700155,0
"70","Beaver","2018-08-31","2:00",772.3082757,7.88,40,70,26.45,7.93,144,"Beaver_831_0200",2018-08-31 02:00:00,0,772.3082757,7.88,7.88,1440,70,40,1,89.5700155,0
"43","Beaver","2018-08-31","4:00",757.9853242,7.62,40,70,26.46,7.94,145,"Beaver_831_0400",2018-08-31 04:00:00,0,757.9853242,7.62,7.62,1450,70,40,1,89.6038794,0
"58","Beaver","2018-08-31","4:00",752.9999762,7.62,40,70,26.46,7.94,145,"Beaver_831_0400",2018-08-31 04:00:00,0,752.9999762,7.62,7.62,1450,70,40,1,89.6038794,0
"69","Beaver","2018-08-31","4:00",771.2353602,7.62,40,70,26.46,7.94,145,"Beaver_831_0400",2018-08-31 04:00:00,0,771.2353602,7.62,7.62,1450,70,40,1,89.6038794,0
"41","Beaver","2018-08-31","6:00",783.0614506,7.67,40,70,26.45,7.9,145,"Beaver_831_0600",2018-08-31 06:00:00,0,783.0614506,7.67,7.67,1450,70,40,1,89.5700155,0
"52","Beaver","2018-08-31","6:00",800.0039136,7.67,40,70,26.45,7.9,145,"Beaver_831_0600",2018-08-31 06:00:00,0,800.0039136,7.67,7.67,1450,70,40,1,89.5700155,0
"65","Beaver","2018-08-31","6:00",787.6600897,7.67,40,70,26.45,7.9,145,"Beaver_831_0600",2018-08-31 06:00:00,0,787.6600897,7.67,7.67,1450,70,40,1,89.5700155,0
"11","Blaine","2018-08-22","10:00",835.967147747222,14.11,40,70,26.95,8.18,NA,"Blaine_822_1000",2018-08-22 10:00:00,0,835.967147747222,14.11,14.11,NA,70,40,1,91.2632105,0
"21","Blaine","2018-08-22","10:00",784.204211181486,14.11,40,70,26.95,8.18,NA,"Blaine_822_1000",2018-08-22 10:00:00,0,784.204211181486,14.11,14.11,NA,70,40,1,91.2632105,0
"26","Blaine","2018-08-22","10:00",800.696092099306,14.11,40,70,26.95,8.18,NA,"Blaine_822_1000",2018-08-22 10:00:00,0,800.696092099306,14.11,14.11,NA,70,40,1,91.2632105,0
"5","Blaine","2018-08-22","12:00",740.003082631667,16.14,40,70,26.92,8.37,150,"Blaine_822_1200",2018-08-22 12:00:00,0,740.003082631667,16.14,16.14,1500,70,40,1,91.1616188,0
"18","Blaine","2018-08-22","12:00",731.898996817143,16.14,40,70,26.92,8.37,150,"Blaine_822_1200",2018-08-22 12:00:00,0,731.898996817143,16.14,16.14,1500,70,40,1,91.1616188,0
"29","Blaine","2018-08-22","12:00",695.967542827297,16.14,40,70,26.92,8.37,150,"Blaine_822_1200",2018-08-22 12:00:00,0,695.967542827297,16.14,16.14,1500,70,40,1,91.1616188,0
"4","Blaine","2018-08-22","14:00",743.424846185417,18.26,40,70,26.87,8.38,NA,"Blaine_822_1400",2018-08-22 14:00:00,0,743.424846185417,18.26,18.26,NA,70,40,1,90.9922993,0
"25","Blaine","2018-08-22","14:00",650.223832270278,18.26,40,70,26.87,8.38,NA,"Blaine_822_1400",2018-08-22 14:00:00,0,650.223832270278,18.26,18.26,NA,70,40,1,90.9922993,0
"32","Blaine","2018-08-22","14:00",855.409072638784,18.26,40,70,26.87,8.38,NA,"Blaine_822_1400",2018-08-22 14:00:00,0,855.409072638784,18.26,18.26,NA,70,40,1,90.9922993,0
"1","Blaine","2018-08-22","16:00",644.406283759595,19.71,40,70,26.81,8.45,155,"Blaine_822_1600",2018-08-22 16:00:00,0,644.406283759595,19.71,19.71,1550,70,40,1,90.7891159,0
"14","Blaine","2018-08-22","16:00",636.121438001095,19.71,40,70,26.81,8.45,155,"Blaine_822_1600",2018-08-22 16:00:00,0,636.121438001095,19.71,19.71,1550,70,40,1,90.7891159,0
"27","Blaine","2018-08-22","16:00",604.025056191806,19.71,40,70,26.81,8.45,155,"Blaine_822_1600",2018-08-22 16:00:00,0,604.025056191806,19.71,19.71,1550,70,40,1,90.7891159,0
"2","Blaine","2018-08-22","18:00",651.054143079815,19.86,40,70,26.77,8.46,156,"Blaine_822_1800",2018-08-22 18:00:00,0,651.054143079815,19.86,19.86,1560,70,40,1,90.6536603,0
"15","Blaine","2018-08-22","18:00",599.431955780946,19.86,40,70,26.77,8.46,156,"Blaine_822_1800",2018-08-22 18:00:00,0,599.431955780946,19.86,19.86,1560,70,40,1,90.6536603,0
"28","Blaine","2018-08-22","18:00",636.127138820238,19.86,40,70,26.77,8.46,156,"Blaine_822_1800",2018-08-22 18:00:00,0,636.127138820238,19.86,19.86,1560,70,40,1,90.6536603,0
"6","Blaine","2018-08-22","20:00",595.151786010333,18.86,40,70,26.75,8.4,154,"Blaine_822_2000",2018-08-22 20:00:00,0,595.151786010333,18.86,18.86,1540,70,40,1,90.5859325,0
"22","Blaine","2018-08-22","20:00",568.845024102361,18.86,40,70,26.75,8.4,154,"Blaine_822_2000",2018-08-22 20:00:00,0,568.845024102361,18.86,18.86,1540,70,40,1,90.5859325,0
"30","Blaine","2018-08-22","20:00",577.896662462361,18.86,40,70,26.75,8.4,154,"Blaine_822_2000",2018-08-22 20:00:00,0,577.896662462361,18.86,18.86,1540,70,40,1,90.5859325,0
"7","Blaine","2018-08-22","22:00",714.242918185417,17.48,40,70,26.76,8.25,155,"Blaine_822_2200",2018-08-22 22:00:00,0,714.242918185417,17.48,17.48,1550,70,40,1,90.6197964,0
"20","Blaine","2018-08-22","22:00",704.974693336389,17.48,40,70,26.76,8.25,155,"Blaine_822_2200",2018-08-22 22:00:00,0,704.974693336389,17.48,17.48,1550,70,40,1,90.6197964,0
"35","Blaine","2018-08-22","22:00",717.177968899861,17.48,40,70,26.76,8.25,155,"Blaine_822_2200",2018-08-22 22:00:00,0,717.177968899861,17.48,17.48,1550,70,40,1,90.6197964,0
"13","Blaine","2018-08-22","6:00",834.082028755676,14.12,40,70,26.99,8.12,149,"Blaine_822_0600",2018-08-22 06:00:00,0,834.082028755676,14.12,14.12,1490,70,40,1,91.3986661,0
"24","Blaine","2018-08-22","6:00",880.192943506343,14.12,40,70,26.99,8.12,149,"Blaine_822_0600",2018-08-22 06:00:00,0,880.192943506343,14.12,14.12,1490,70,40,1,91.3986661,0
"37","Blaine","2018-08-22","6:00",885.9733167325,14.12,40,70,26.99,8.12,149,"Blaine_822_0600",2018-08-22 06:00:00,0,885.9733167325,14.12,14.12,1490,70,40,1,91.3986661,0
"12","Blaine","2018-08-22","8:00",850.302420887571,13.64,40,70,26.99,8.12,NA,"Blaine_822_0800",2018-08-22 08:00:00,0,850.302420887571,13.64,13.64,NA,70,40,1,91.3986661,0
"23","Blaine","2018-08-22","8:00",835.772620335417,13.64,40,70,26.99,8.12,NA,"Blaine_822_0800",2018-08-22 08:00:00,0,835.772620335417,13.64,13.64,NA,70,40,1,91.3986661,0
"38","Blaine","2018-08-22","8:00",865.341853986905,13.64,40,70,26.99,8.12,NA,"Blaine_822_0800",2018-08-22 08:00:00,0,865.341853986905,13.64,13.64,NA,70,40,1,91.3986661,0
"3","Blaine","2018-08-23","0:00",891.775523203426,16.35,40,70,26.78,8.12,NA,"Blaine_823_0000",2018-08-23 00:00:00,0,891.775523203426,16.35,16.35,NA,70,40,1,90.6875242,0
"16","Blaine","2018-08-23","0:00",901.296976992778,16.35,40,70,26.78,8.12,NA,"Blaine_823_0000",2018-08-23 00:00:00,0,901.296976992778,16.35,16.35,NA,70,40,1,90.6875242,0
"34","Blaine","2018-08-23","0:00",876.022806191944,16.35,40,70,26.78,8.12,NA,"Blaine_823_0000",2018-08-23 00:00:00,0,876.022806191944,16.35,16.35,NA,70,40,1,90.6875242,0
"10","Blaine","2018-08-23","2:00",899.505596450811,15.63,40,70,26.78,8.14,NA,"Blaine_823_0200",2018-08-23 02:00:00,0,899.505596450811,15.63,15.63,NA,70,40,1,90.6875242,0
"19","Blaine","2018-08-23","2:00",869.706225960694,15.63,40,70,26.78,8.14,NA,"Blaine_823_0200",2018-08-23 02:00:00,0,869.706225960694,15.63,15.63,NA,70,40,1,90.6875242,0
"33","Blaine","2018-08-23","2:00",873.051086739583,15.63,40,70,26.78,8.14,NA,"Blaine_823_0200",2018-08-23 02:00:00,0,873.051086739583,15.63,15.63,NA,70,40,1,90.6875242,0
"9","Blaine","2018-08-23","4:00",902.506028285417,15.01,40,70,26.8,8.11,NA,"Blaine_823_0400",2018-08-23 04:00:00,0,902.506028285417,15.01,15.01,NA,70,40,1,90.755252,0
"17","Blaine","2018-08-23","4:00",878.133308555139,15.01,40,70,26.8,8.11,NA,"Blaine_823_0400",2018-08-23 04:00:00,0,878.133308555139,15.01,15.01,NA,70,40,1,90.755252,0
"36","Blaine","2018-08-23","4:00",891.448191704595,15.01,40,70,26.8,8.11,NA,"Blaine_823_0400",2018-08-23 04:00:00,0,891.448191704595,15.01,15.01,NA,70,40,1,90.755252,0
"8","Blaine","2018-08-23","6:00",866.986205425676,14.52,40,70,26.81,8.09,150,"Blaine_823_0600",2018-08-23 06:00:00,0,866.986205425676,14.52,14.52,1500,70,40,1,90.7891159,0
"31","Blaine","2018-08-23","6:00",874.014564913243,14.52,40,70,26.81,8.09,150,"Blaine_823_0600",2018-08-23 06:00:00,0,874.014564913243,14.52,14.52,1500,70,40,1,90.7891159,0
"88","OakLolomai","2018-09-26","10:00",736.086462969136,20.09,40,70,26.44,8.47,170,"OakLolomai_926_1000",2018-09-26 10:00:00,0,736.086462969136,20.09,20.09,1700,70,40,1,89.5361516,0
"103","OakLolomai","2018-09-26","10:00",670.75598550358,20.09,40,70,26.44,8.47,170,"OakLolomai_926_1000",2018-09-26 10:00:00,0,670.75598550358,20.09,20.09,1700,70,40,1,89.5361516,0
"115","OakLolomai","2018-09-26","10:00",687.513067195179,20.09,40,70,26.44,8.47,170,"OakLolomai_926_1000",2018-09-26 10:00:00,0,687.513067195179,20.09,20.09,1700,70,40,1,89.5361516,0
"81","OakLolomai","2018-09-26","12:00",706.081556416786,27.29,40,70,26.4,8.5,170,"OakLolomai_926_1200",2018-09-26 12:00:00,0,706.081556416786,27.29,27.29,1700,70,40,1,89.400696,0
"102","OakLolomai","2018-09-26","12:00",652.673009326786,27.29,40,70,26.4,8.5,170,"OakLolomai_926_1200",2018-09-26 12:00:00,0,652.673009326786,27.29,27.29,1700,70,40,1,89.400696,0
"119","OakLolomai","2018-09-26","12:00",663.76788460537,27.29,40,70,26.4,8.5,170,"OakLolomai_926_1200",2018-09-26 12:00:00,0,663.76788460537,27.29,27.29,1700,70,40,1,89.400696,0
"87","OakLolomai","2018-09-26","14:00",650.458694128214,22,40,70,26.34,8.59,170,"OakLolomai_926_1400",2018-09-26 14:00:00,0,650.458694128214,22,22,1700,70,40,1,89.1975126,0
"106","OakLolomai","2018-09-26","14:00",632.432625324107,22,40,70,26.34,8.59,170,"OakLolomai_926_1400",2018-09-26 14:00:00,0,632.432625324107,22,22,1700,70,40,1,89.1975126,0
"123","OakLolomai","2018-09-26","14:00",598.670053052679,22,40,70,26.34,8.59,170,"OakLolomai_926_1400",2018-09-26 14:00:00,0,598.670053052679,22,22,1700,70,40,1,89.1975126,0
"89","OakLolomai","2018-09-26","16:00",554.97808285375,22.01,40,70,26.31,8.56,171,"OakLolomai_926_1600",2018-09-26 16:00:00,0,554.97808285375,22.01,22.01,1710,70,40,1,89.0959209,0
"99","OakLolomai","2018-09-26","16:00",543.394489633519,22.01,40,70,26.31,8.56,171,"OakLolomai_926_1600",2018-09-26 16:00:00,0,543.394489633519,22.01,22.01,1710,70,40,1,89.0959209,0
"121","OakLolomai","2018-09-26","16:00",549.885485121786,22.01,40,70,26.31,8.56,171,"OakLolomai_926_1600",2018-09-26 16:00:00,0,549.885485121786,22.01,22.01,1710,70,40,1,89.0959209,0
"86","OakLolomai","2018-09-26","18:00",518.841357218793,21.78,40,70,26.31,8.54,169,"OakLolomai_926_1800",2018-09-26 18:00:00,0,518.841357218793,21.78,21.78,1690,70,40,1,89.0959209,0
"101","OakLolomai","2018-09-26","18:00",488.03277025963,21.78,40,70,26.31,8.54,169,"OakLolomai_926_1800",2018-09-26 18:00:00,0,488.03277025963,21.78,21.78,1690,70,40,1,89.0959209,0
"116","OakLolomai","2018-09-26","18:00",506.106800727414,21.78,40,70,26.31,8.54,169,"OakLolomai_926_1800",2018-09-26 18:00:00,0,506.106800727414,21.78,21.78,1690,70,40,1,89.0959209,0
"80","OakLolomai","2018-09-26","20:00",485.039889903214,21.37,40,70,26.34,8.52,168,"OakLolomai_926_2000",2018-09-26 20:00:00,0,485.039889903214,21.37,21.37,1680,70,40,1,89.1975126,0
"107","OakLolomai","2018-09-26","20:00",494.853385202857,21.37,40,70,26.34,8.52,168,"OakLolomai_926_2000",2018-09-26 20:00:00,0,494.853385202857,21.37,21.37,1680,70,40,1,89.1975126,0
"120","OakLolomai","2018-09-26","20:00",490.328181519643,21.37,40,70,26.34,8.52,168,"OakLolomai_926_2000",2018-09-26 20:00:00,0,490.328181519643,21.37,21.37,1680,70,40,1,89.1975126,0
"79","OakLolomai","2018-09-26","22:00",550.319352850357,20.87,40,70,26.37,8.48,167,"OakLolomai_926_2200",2018-09-26 22:00:00,0,550.319352850357,20.87,20.87,1670,70,40,1,89.2991043,0
"105","OakLolomai","2018-09-26","22:00",496.378210190536,20.87,40,70,26.37,8.48,167,"OakLolomai_926_2200",2018-09-26 22:00:00,0,496.378210190536,20.87,20.87,1670,70,40,1,89.2991043,0
"125","OakLolomai","2018-09-26","22:00",514.939198194444,20.87,40,70,26.37,8.48,167,"OakLolomai_926_2200",2018-09-26 22:00:00,0,514.939198194444,20.87,20.87,1670,70,40,1,89.2991043,0
"100","OakLolomai","2018-09-26","6:00",606.146287116429,19.87,40,70,26.42,8.43,171,"OakLolomai_926_0600",2018-09-26 06:00:00,0,606.146287116429,19.87,19.87,1710,70,40,1,89.4684238,0
"114","OakLolomai","2018-09-26","6:00",587.537761939821,19.87,40,70,26.42,8.43,171,"OakLolomai_926_0600",2018-09-26 06:00:00,0,587.537761939821,19.87,19.87,1710,70,40,1,89.4684238,0
"90","OakLolomai","2018-09-26","8:00",614.883752053333,19.6,40,70,26.44,8.42,171.67,"OakLolomai_926_0800",2018-09-26 08:00:00,0,614.883752053333,19.6,19.6,1716.7,70,40,1,89.5361516,0
"113","OakLolomai","2018-09-26","8:00",600.428912926667,19.6,40,70,26.44,8.42,171.67,"OakLolomai_926_0800",2018-09-26 08:00:00,0,600.428912926667,19.6,19.6,1716.7,70,40,1,89.5361516,0
"97","OakLolomai","2018-09-27","0:00",515.316633769464,20.51,40,70,26.38,8.46,170,"OakLolomai_927_0000",2018-09-27 00:00:00,0,515.316633769464,20.51,20.51,1700,70,40,1,89.3329682,0
"124","OakLolomai","2018-09-27","0:00",506.627043878148,20.51,40,70,26.38,8.46,170,"OakLolomai_927_0000",2018-09-27 00:00:00,0,506.627043878148,20.51,20.51,1700,70,40,1,89.3329682,0
"83","OakLolomai","2018-09-27","2:00",494.56562213375,20.18,40,70,26.39,8.45,169,"OakLolomai_927_0200",2018-09-27 02:00:00,0,494.56562213375,20.18,20.18,1690,70,40,1,89.3668321,0
"98","OakLolomai","2018-09-27","2:00",540.289413166964,20.18,40,70,26.39,8.45,169,"OakLolomai_927_0200",2018-09-27 02:00:00,0,540.289413166964,20.18,20.18,1690,70,40,1,89.3668321,0
"117","OakLolomai","2018-09-27","2:00",520.737312039815,20.18,40,70,26.39,8.45,169,"OakLolomai_927_0200",2018-09-27 02:00:00,0,520.737312039815,20.18,20.18,1690,70,40,1,89.3668321,0
"85","OakLolomai","2018-09-27","4:00",497.194310108393,19.7,40,70,26.39,8.43,170,"OakLolomai_927_0400",2018-09-27 04:00:00,0,497.194310108393,19.7,19.7,1700,70,40,1,89.3668321,0
"118","OakLolomai","2018-09-27","4:00",498.208244386603,19.7,40,70,26.39,8.43,170,"OakLolomai_927_0400",2018-09-27 04:00:00,0,498.208244386603,19.7,19.7,1700,70,40,1,89.3668321,0
"78","OakLolomai","2018-09-27","6:00",501.945716744074,19.18,40,70,26.42,8.46,171,"OakLolomai_927_0600",2018-09-27 06:00:00,0,501.945716744074,19.18,19.18,1710,70,40,1,89.4684238,0
"82","OakWillow","2018-09-27","12:00",1144.19882659074,19.68,40,70,26.48,8.29,203,"OakWillow_927_1200",2018-09-27 12:00:00,0,1144.19882659074,19.68,19.68,2030,70,40,1,89.6716072,0
"96","OakWillow","2018-09-27","12:00",1180.61060893929,19.68,40,70,26.48,8.29,203,"OakWillow_927_1200",2018-09-27 12:00:00,0,1180.61060893929,19.68,19.68,2030,70,40,1,89.6716072,0
"126","OakWillow","2018-09-27","12:00",1144.27952982407,19.68,40,70,26.48,8.29,203,"OakWillow_927_1200",2018-09-27 12:00:00,0,1144.27952982407,19.68,19.68,2030,70,40,1,89.6716072,0
"95","OakWillow","2018-09-27","16:00",1083.74280504012,20.85,40,70,26.36,8.25,202,"OakWillow_927_1600",2018-09-27 16:00:00,0,1083.74280504012,20.85,20.85,2020,70,40,1,89.2652404,0
"112","OakWillow","2018-09-27","16:00",1062.07945676071,20.85,40,70,26.36,8.25,202,"OakWillow_927_1600",2018-09-27 16:00:00,0,1062.07945676071,20.85,20.85,2020,70,40,1,89.2652404,0
"131","OakWillow","2018-09-27","16:00",1091.80339198036,20.85,40,70,26.36,8.25,202,"OakWillow_927_1600",2018-09-27 16:00:00,0,1091.80339198036,20.85,20.85,2020,70,40,1,89.2652404,0
"94","OakWillow","2018-09-27","20:00",1037.49924295741,20.83,40,70,26.39,8.19,202,"OakWillow_927_2000",2018-09-27 20:00:00,0,1037.49924295741,20.83,20.83,2020,70,40,1,89.3668321,0
"111","OakWillow","2018-09-27","20:00",1030.51343070893,20.83,40,70,26.39,8.19,202,"OakWillow_927_2000",2018-09-27 20:00:00,0,1030.51343070893,20.83,20.83,2020,70,40,1,89.3668321,0
"130","OakWillow","2018-09-27","20:00",1025.84945264821,20.83,40,70,26.39,8.19,202,"OakWillow_927_2000",2018-09-27 20:00:00,0,1025.84945264821,20.83,20.83,2020,70,40,1,89.3668321,0
"84","OakWillow","2018-09-27","8:00",1059.52275752407,17.74,40,70,26.54,8.18,205,"OakWillow_927_0800",2018-09-27 08:00:00,0,1059.52275752407,17.74,17.74,2050,70,40,1,89.8747906,0
"104","OakWillow","2018-09-27","8:00",1119.69575352414,17.74,40,70,26.54,8.18,205,"OakWillow_927_0800",2018-09-27 08:00:00,0,1119.69575352414,17.74,17.74,2050,70,40,1,89.8747906,0
"122","OakWillow","2018-09-27","8:00",1119.6156422625,17.74,40,70,26.54,8.18,205,"OakWillow_927_0800",2018-09-27 08:00:00,0,1119.6156422625,17.74,17.74,2050,70,40,1,89.8747906,0
"93","OakWillow","2018-09-28","0:00",1020.56604971667,20.7,40,70,26.44,8.19,205,"OakWillow_928_0000",2018-09-28 00:00:00,0,1020.56604971667,20.7,20.7,2050,70,40,1,89.5361516,0
"110","OakWillow","2018-09-28","0:00",1022.86495393393,20.7,40,70,26.44,8.19,205,"OakWillow_928_0000",2018-09-28 00:00:00,0,1022.86495393393,20.7,20.7,2050,70,40,1,89.5361516,0
"128","OakWillow","2018-09-28","0:00",982.013022677407,20.7,40,70,26.44,8.19,205,"OakWillow_928_0000",2018-09-28 00:00:00,0,982.013022677407,20.7,20.7,2050,70,40,1,89.5361516,0
"92","OakWillow","2018-09-28","4:00",1027.02517575309,18.72,40,70,26.47,8.17,204,"OakWillow_928_0400",2018-09-28 04:00:00,0,1027.02517575309,18.72,18.72,2040,70,40,1,89.6377433,0
"109","OakWillow","2018-09-28","4:00",1050.97982444107,18.72,40,70,26.47,8.17,204,"OakWillow_928_0400",2018-09-28 04:00:00,0,1050.97982444107,18.72,18.72,2040,70,40,1,89.6377433,0
"129","OakWillow","2018-09-28","4:00",1023.07040556607,18.72,40,70,26.47,8.17,204,"OakWillow_928_0400",2018-09-28 04:00:00,0,1023.07040556607,18.72,18.72,2040,70,40,1,89.6377433,0
"91","OakWillow","2018-09-28","8:00",1155.79615388036,17.71,40,70,26.51,8.18,206,"OakWillow_928_0800",2018-09-28 08:00:00,0,1155.79615388036,17.71,17.71,2060,70,40,1,89.7731989,0
"108","OakWillow","2018-09-28","8:00",1136.28702683929,17.71,40,70,26.51,8.18,206,"OakWillow_928_0800",2018-09-28 08:00:00,0,1136.28702683929,17.71,17.71,2060,70,40,1,89.7731989,0
"127","OakWillow","2018-09-28","8:00",1115.74876282308,17.71,40,70,26.51,8.18,206,"OakWillow_928_0800",2018-09-28 08:00:00,0,1115.74876282308,17.71,17.71,2060,70,40,1,89.7731989,0
