"","Sample.ID","HS.pCO2.before","HS.pCO2.after","Temp.insitu","Temp.equil","Alkalinity.measured","Volume.gas","Volume.water","Bar.pressure","Constants","Salinity"
"10","Blaine_823_0200",0,899.505596450811,15.63,15.63,NA,70,40,90.6875242,1,0
"19","Blaine_823_0200",0,869.706225960694,15.63,15.63,NA,70,40,90.6875242,1,0
"33","Blaine_823_0200",0,873.051086739583,15.63,15.63,NA,70,40,90.6875242,1,0
"9","Blaine_823_0400",0,902.506028285417,15.01,15.01,NA,70,40,90.755252,1,0
"17","Blaine_823_0400",0,878.133308555139,15.01,15.01,NA,70,40,90.755252,1,0
"36","Blaine_823_0400",0,891.448191704595,15.01,15.01,NA,70,40,90.755252,1,0
"8","Blaine_823_0600",0,866.986205425676,14.52,14.52,1500,70,40,90.7891159,1,0
"31","Blaine_823_0600",0,874.014564913243,14.52,14.52,1500,70,40,90.7891159,1,0
"88","OakLolomai_926_1000",0,736.086462969136,20.09,20.09,1700,70,40,89.5361516,1,0
"103","OakLolomai_926_1000",0,670.75598550358,20.09,20.09,1700,70,40,89.5361516,1,0
"115","OakLolomai_926_1000",0,687.513067195179,20.09,20.09,1700,70,40,89.5361516,1,0
"81","OakLolomai_926_1200",0,706.081556416786,27.29,27.29,1700,70,40,89.400696,1,0
"102","OakLolomai_926_1200",0,652.673009326786,27.29,27.29,1700,70,40,89.400696,1,0
"119","OakLolomai_926_1200",0,663.76788460537,27.29,27.29,1700,70,40,89.400696,1,0
"87","OakLolomai_926_1400",0,650.458694128214,22,22,1700,70,40,89.1975126,1,0
"106","OakLolomai_926_1400",0,632.432625324107,22,22,1700,70,40,89.1975126,1,0
"123","OakLolomai_926_1400",0,598.670053052679,22,22,1700,70,40,89.1975126,1,0
"89","OakLolomai_926_1600",0,554.97808285375,22.01,22.01,1710,70,40,89.0959209,1,0
"99","OakLolomai_926_1600",0,543.394489633519,22.01,22.01,1710,70,40,89.0959209,1,0
"121","OakLolomai_926_1600",0,549.885485121786,22.01,22.01,1710,70,40,89.0959209,1,0
"86","OakLolomai_926_1800",0,518.841357218793,21.78,21.78,1690,70,40,89.0959209,1,0
"101","OakLolomai_926_1800",0,488.03277025963,21.78,21.78,1690,70,40,89.0959209,1,0
"116","OakLolomai_926_1800",0,506.106800727414,21.78,21.78,1690,70,40,89.0959209,1,0
"80","OakLolomai_926_2000",0,485.039889903214,21.37,21.37,1680,70,40,89.1975126,1,0
"107","OakLolomai_926_2000",0,494.853385202857,21.37,21.37,1680,70,40,89.1975126,1,0
"120","OakLolomai_926_2000",0,490.328181519643,21.37,21.37,1680,70,40,89.1975126,1,0
"79","OakLolomai_926_2200",0,550.319352850357,20.87,20.87,1670,70,40,89.2991043,1,0
"105","OakLolomai_926_2200",0,496.378210190536,20.87,20.87,1670,70,40,89.2991043,1,0
"125","OakLolomai_926_2200",0,514.939198194444,20.87,20.87,1670,70,40,89.2991043,1,0
"100","OakLolomai_926_0600",0,606.146287116429,19.87,19.87,1710,70,40,89.4684238,1,0
"114","OakLolomai_926_0600",0,587.537761939821,19.87,19.87,1710,70,40,89.4684238,1,0
"90","OakLolomai_926_0800",0,614.883752053333,19.6,19.6,1716.7,70,40,89.5361516,1,0
"113","OakLolomai_926_0800",0,600.428912926667,19.6,19.6,1716.7,70,40,89.5361516,1,0
"97","OakLolomai_927_0000",0,515.316633769464,20.51,20.51,1700,70,40,89.3329682,1,0
"124","OakLolomai_927_0000",0,506.627043878148,20.51,20.51,1700,70,40,89.3329682,1,0
"83","OakLolomai_927_0200",0,494.56562213375,20.18,20.18,1690,70,40,89.3668321,1,0
"98","OakLolomai_927_0200",0,540.289413166964,20.18,20.18,1690,70,40,89.3668321,1,0
"117","OakLolomai_927_0200",0,520.737312039815,20.18,20.18,1690,70,40,89.3668321,1,0
"85","OakLolomai_927_0400",0,497.194310108393,19.7,19.7,1700,70,40,89.3668321,1,0
"118","OakLolomai_927_0400",0,498.208244386603,19.7,19.7,1700,70,40,89.3668321,1,0
"78","OakLolomai_927_0600",0,501.945716744074,19.18,19.18,1710,70,40,89.4684238,1,0
"82","OakWillow_927_1200",0,1144.19882659074,19.68,19.68,2030,70,40,89.6716072,1,0
"96","OakWillow_927_1200",0,1180.61060893929,19.68,19.68,2030,70,40,89.6716072,1,0
"126","OakWillow_927_1200",0,1144.27952982407,19.68,19.68,2030,70,40,89.6716072,1,0
"95","OakWillow_927_1600",0,1083.74280504012,20.85,20.85,2020,70,40,89.2652404,1,0
"112","OakWillow_927_1600",0,1062.07945676071,20.85,20.85,2020,70,40,89.2652404,1,0
"131","OakWillow_927_1600",0,1091.80339198036,20.85,20.85,2020,70,40,89.2652404,1,0
"94","OakWillow_927_2000",0,1037.49924295741,20.83,20.83,2020,70,40,89.3668321,1,0
"111","OakWillow_927_2000",0,1030.51343070893,20.83,20.83,2020,70,40,89.3668321,1,0
"130","OakWillow_927_2000",0,1025.84945264821,20.83,20.83,2020,70,40,89.3668321,1,0
"84","OakWillow_927_0800",0,1059.52275752407,17.74,17.74,2050,70,40,89.8747906,1,0
"104","OakWillow_927_0800",0,1119.69575352414,17.74,17.74,2050,70,40,89.8747906,1,0
"122","OakWillow_927_0800",0,1119.6156422625,17.74,17.74,2050,70,40,89.8747906,1,0
"93","OakWillow_928_0000",0,1020.56604971667,20.7,20.7,2050,70,40,89.5361516,1,0
"110","OakWillow_928_0000",0,1022.86495393393,20.7,20.7,2050,70,40,89.5361516,1,0
"128","OakWillow_928_0000",0,982.013022677407,20.7,20.7,2050,70,40,89.5361516,1,0
"92","OakWillow_928_0400",0,1027.02517575309,18.72,18.72,2040,70,40,89.6377433,1,0
"109","OakWillow_928_0400",0,1050.97982444107,18.72,18.72,2040,70,40,89.6377433,1,0
"129","OakWillow_928_0400",0,1023.07040556607,18.72,18.72,2040,70,40,89.6377433,1,0
"91","OakWillow_928_0800",0,1155.79615388036,17.71,17.71,2060,70,40,89.7731989,1,0
"108","OakWillow_928_0800",0,1136.28702683929,17.71,17.71,2060,70,40,89.7731989,1,0
"127","OakWillow_928_0800",0,1115.74876282308,17.71,17.71,2060,70,40,89.7731989,1,0
